order_id,customer_id,order_date,order_status,product_id,quantity,price,product_name,category,signup_date,country,revenue
ORD2000,CUST1340,2023-12-19,completed,PROD6,2,39.99,Corner Pocket Hat,Hats,2023-01-11,CA,79.98
ORD2000,CUST1340,2023-12-19,completed,PROD7,3,34.99,Lucky 7 Hat,Accessories,2023-01-11,CA,104.97
ORD2001,CUST1281,2023-10-14,completed,PROD5,3,44.99,Pocket King Hat,Hats,2023-07-08,US,134.97
ORD2001,CUST1281,2023-10-14,completed,PROD8,1,29.99,Blackout Hat,Accessories,2023-07-08,US,29.99
ORD2002,CUST1062,2023-09-03,cancelled,PROD11,3,39.99,Chalk Logo Hat,Hats,2023-10-06,UK,119.97
ORD2002,CUST1062,2023-09-03,cancelled,PROD4,2,39.99,Break Shot Hat,Accessories,2023-10-06,UK,79.98
ORD2003,CUST1216,2024-05-04,completed,PROD15,3,34.99,Hustler Hat,Hats,2023-02-22,US,104.97
ORD2003,CUST1216,2024-05-04,completed,PROD1,1,39.99,8 Ball Hat,Hats,2023-02-22,US,39.99
ORD2003,CUST1216,2024-05-04,completed,PROD19,1,34.99,Rail King Hat,Accessories,2023-02-22,US,34.99
ORD2004,CUST1341,2023-12-02,completed,PROD18,2,34.99,Bank Shot Hat,Accessories,2024-01-18,CA,69.98
ORD2004,CUST1341,2023-12-02,completed,PROD9,3,44.99,Stripes Hat,Accessories,2024-01-18,CA,134.97
ORD2004,CUST1341,2023-12-02,completed,PROD19,1,39.99,Rail King Hat,Accessories,2024-01-18,CA,39.99
ORD2004,CUST1341,2023-12-02,completed,PROD3,1,39.99,Cue Stick Cap,Hats,2024-01-18,CA,39.99
ORD2005,CUST1314,2023-10-12,completed,PROD9,2,44.99,Stripes Hat,Accessories,2024-05-23,UK,89.98
ORD2005,CUST1314,2023-10-12,completed,PROD19,3,34.99,Rail King Hat,Accessories,2024-05-23,UK,104.97
ORD2005,CUST1314,2023-10-12,completed,PROD13,3,29.99,Midnight Felt Hat,Accessories,2024-05-23,UK,89.97
ORD2005,CUST1314,2023-10-12,completed,PROD7,2,29.99,Lucky 7 Hat,Accessories,2024-05-23,UK,59.98
ORD2006,CUST1282,2023-07-18,completed,PROD19,2,29.99,Rail King Hat,Accessories,2023-08-03,US,59.98
ORD2006,CUST1282,2023-07-18,completed,PROD1,1,44.99,8 Ball Hat,Hats,2023-08-03,US,44.99
ORD2006,CUST1282,2023-07-18,completed,PROD10,3,34.99,Solids Hat,Hats,2023-08-03,US,104.97
ORD2007,CUST1176,2023-09-18,completed,PROD9,1,29.99,Stripes Hat,Accessories,2024-01-26,MX,29.99
ORD2008,CUST1460,2023-11-06,completed,PROD11,3,29.99,Chalk Logo Hat,Hats,2023-04-27,US,89.97
ORD2008,CUST1460,2023-11-06,completed,PROD8,2,44.99,Blackout Hat,Accessories,2023-04-27,US,89.98
ORD2008,CUST1460,2023-11-06,completed,PROD15,3,34.99,Hustler Hat,Hats,2023-04-27,US,104.97
ORD2008,CUST1460,2023-11-06,completed,PROD10,1,39.99,Solids Hat,Hats,2023-04-27,US,39.99
